ADS1115 CONFIG: 0x8488
XU4 Microsecond: 2585835, ADC Sample: -608
XU4 Microsecond: 2593690, ADC Sample: -798
XU4 Microsecond: 2601542, ADC Sample: -654
XU4 Microsecond: 2609397, ADC Sample: -941
XU4 Microsecond: 2617252, ADC Sample: -571
XU4 Microsecond: 2625108, ADC Sample: -1028
XU4 Microsecond: 2632963, ADC Sample: -587
XU4 Microsecond: 2640818, ADC Sample: -1104
XU4 Microsecond: 2648671, ADC Sample: -737
XU4 Microsecond: 2656530, ADC Sample: -1207
XU4 Microsecond: 2664381, ADC Sample: -836
XU4 Microsecond: 2672239, ADC Sample: -1221
XU4 Microsecond: 2680089, ADC Sample: -930
XU4 Microsecond: 2687920, ADC Sample: -1072
XU4 Microsecond: 2695806, ADC Sample: -911
XU4 Microsecond: 2703663, ADC Sample: -895
XU4 Microsecond: 2711519, ADC Sample: -890
XU4 Microsecond: 2719374, ADC Sample: -747
XU4 Microsecond: 2727230, ADC Sample: -889
XU4 Microsecond: 2735084, ADC Sample: -646
XU4 Microsecond: 2742936, ADC Sample: -882
XU4 Microsecond: 2750805, ADC Sample: -536
XU4 Microsecond: 2758656, ADC Sample: -815
XU4 Microsecond: 2766512, ADC Sample: -553
XU4 Microsecond: 2774366, ADC Sample: -731
XU4 Microsecond: 2782221, ADC Sample: -319
XU4 Microsecond: 2790074, ADC Sample: -653
XU4 Microsecond: 2797927, ADC Sample: -487
XU4 Microsecond: 2805827, ADC Sample: -605
XU4 Microsecond: 2813641, ADC Sample: -454
XU4 Microsecond: 2821495, ADC Sample: -488
XU4 Microsecond: 2829352, ADC Sample: -368
XU4 Microsecond: 2837223, ADC Sample: -421
XU4 Microsecond: 2845061, ADC Sample: -282
XU4 Microsecond: 2853036, ADC Sample: -302
XU4 Microsecond: 2860786, ADC Sample: -247
XU4 Microsecond: 2868631, ADC Sample: -144
XU4 Microsecond: 2876492, ADC Sample: -175
XU4 Microsecond: 2884337, ADC Sample: -177
XU4 Microsecond: 2892203, ADC Sample: -121
XU4 Microsecond: 2900054, ADC Sample: 16
XU4 Microsecond: 2907913, ADC Sample: -51
XU4 Microsecond: 2915765, ADC Sample: -40
XU4 Microsecond: 2923626, ADC Sample: 3
XU4 Microsecond: 2931481, ADC Sample: -44
XU4 Microsecond: 2939342, ADC Sample: 69
XU4 Microsecond: 2947191, ADC Sample: 77
XU4 Microsecond: 2955051, ADC Sample: 181
XU4 Microsecond: 2962909, ADC Sample: 119
XU4 Microsecond: 2970765, ADC Sample: 128
XU4 Microsecond: 2978619, ADC Sample: 181
XU4 Microsecond: 2986511, ADC Sample: 218
XU4 Microsecond: 2994330, ADC Sample: 280
XU4 Microsecond: 3002198, ADC Sample: 345
XU4 Microsecond: 3010037, ADC Sample: 412
XU4 Microsecond: 3017905, ADC Sample: 433
XU4 Microsecond: 3025760, ADC Sample: 512
XU4 Microsecond: 3033621, ADC Sample: 367
XU4 Microsecond: 3041450, ADC Sample: 582
XU4 Microsecond: 3049331, ADC Sample: 422
XU4 Microsecond: 3057202, ADC Sample: 668
XU4 Microsecond: 3065033, ADC Sample: 517
XU4 Microsecond: 3072876, ADC Sample: 741
XU4 Microsecond: 3080780, ADC Sample: 619
XU4 Microsecond: 3088683, ADC Sample: 825
XU4 Microsecond: 3096475, ADC Sample: 712
XU4 Microsecond: 3104324, ADC Sample: 812
XU4 Microsecond: 3112184, ADC Sample: 793
XU4 Microsecond: 3120040, ADC Sample: 815
XU4 Microsecond: 3128087, ADC Sample: 902
XU4 Microsecond: 3135777, ADC Sample: 846
XU4 Microsecond: 3143617, ADC Sample: 1058
XU4 Microsecond: 3151507, ADC Sample: 831
XU4 Microsecond: 3159326, ADC Sample: 1198
XU4 Microsecond: 3167428, ADC Sample: 900
XU4 Microsecond: 3175056, ADC Sample: 1259
XU4 Microsecond: 3182934, ADC Sample: 782
XU4 Microsecond: 3190780, ADC Sample: 1176
XU4 Microsecond: 3198637, ADC Sample: 773
XU4 Microsecond: 3206497, ADC Sample: 1113
XU4 Microsecond: 3214327, ADC Sample: 779
XU4 Microsecond: 3222204, ADC Sample: 925
XU4 Microsecond: 3230035, ADC Sample: 753
XU4 Microsecond: 3237903, ADC Sample: 788
XU4 Microsecond: 3245757, ADC Sample: 732
XU4 Microsecond: 3253622, ADC Sample: 700
XU4 Microsecond: 3261469, ADC Sample: 658
XU4 Microsecond: 3269321, ADC Sample: 618
XU4 Microsecond: 3277177, ADC Sample: 633
XU4 Microsecond: 3285033, ADC Sample: 512
XU4 Microsecond: 3292887, ADC Sample: 614
XU4 Microsecond: 3300743, ADC Sample: 415
XU4 Microsecond: 3308598, ADC Sample: 535
XU4 Microsecond: 3316453, ADC Sample: 426
XU4 Microsecond: 3324306, ADC Sample: 466
XU4 Microsecond: 3332169, ADC Sample: 281
XU4 Microsecond: 3340021, ADC Sample: 395
XU4 Microsecond: 3347899, ADC Sample: 224
XU4 Microsecond: 3355743, ADC Sample: 409
XU4 Microsecond: 3363599, ADC Sample: 215
XU4 Microsecond: 3371459, ADC Sample: 199
XU4 Microsecond: 3379311, ADC Sample: 154
XU4 Microsecond: 3387168, ADC Sample: 165
XU4 Microsecond: 3395022, ADC Sample: 75
XU4 Microsecond: 3402876, ADC Sample: 13
XU4 Microsecond: 3410732, ADC Sample: 45
XU4 Microsecond: 3418587, ADC Sample: 62
XU4 Microsecond: 3426444, ADC Sample: -13
XU4 Microsecond: 3434298, ADC Sample: -106
XU4 Microsecond: 3442154, ADC Sample: -72
XU4 Microsecond: 3450009, ADC Sample: -174
XU4 Microsecond: 3457865, ADC Sample: -148
XU4 Microsecond: 3465727, ADC Sample: -209
XU4 Microsecond: 3473580, ADC Sample: -231
XU4 Microsecond: 3481431, ADC Sample: -96
XU4 Microsecond: 3489287, ADC Sample: -314
XU4 Microsecond: 3497140, ADC Sample: -433
XU4 Microsecond: 3504997, ADC Sample: -395
XU4 Microsecond: 3512853, ADC Sample: -368
XU4 Microsecond: 3520708, ADC Sample: -501
XU4 Microsecond: 3528608, ADC Sample: -437
XU4 Microsecond: 3536427, ADC Sample: -395
XU4 Microsecond: 3544317, ADC Sample: -510
XU4 Microsecond: 3552153, ADC Sample: -552
XU4 Microsecond: 3559998, ADC Sample: -657
XU4 Microsecond: 3567856, ADC Sample: -577
XU4 Microsecond: 3575722, ADC Sample: -754
XU4 Microsecond: 3583590, ADC Sample: -428
XU4 Microsecond: 3591448, ADC Sample: -835
XU4 Microsecond: 3599308, ADC Sample: -552
XU4 Microsecond: 3607144, ADC Sample: -939
XU4 Microsecond: 3614997, ADC Sample: -706
XU4 Microsecond: 3622860, ADC Sample: -1029
XU4 Microsecond: 3630706, ADC Sample: -772
XU4 Microsecond: 3638568, ADC Sample: -1065
XU4 Microsecond: 3646431, ADC Sample: -858
XU4 Microsecond: 3654300, ADC Sample: -1124
XU4 Microsecond: 3662129, ADC Sample: -999
XU4 Microsecond: 3670012, ADC Sample: -1001
XU4 Microsecond: 3677851, ADC Sample: -1075
XU4 Microsecond: 3685728, ADC Sample: -873
XU4 Microsecond: 3693606, ADC Sample: -1064
XU4 Microsecond: 3701434, ADC Sample: -740
XU4 Microsecond: 3709284, ADC Sample: -1066
XU4 Microsecond: 3717189, ADC Sample: -676
XU4 Microsecond: 3725001, ADC Sample: -988
XU4 Microsecond: 3732848, ADC Sample: -599
XU4 Microsecond: 3740703, ADC Sample: -914
XU4 Microsecond: 3748562, ADC Sample: -527
XU4 Microsecond: 3756462, ADC Sample: -843
XU4 Microsecond: 3764275, ADC Sample: -535
XU4 Microsecond: 3772127, ADC Sample: -699
XU4 Microsecond: 3779983, ADC Sample: -521
XU4 Microsecond: 3787837, ADC Sample: -639
XU4 Microsecond: 3795692, ADC Sample: -499
XU4 Microsecond: 3803528, ADC Sample: -403
XU4 Microsecond: 3811407, ADC Sample: -455
XU4 Microsecond: 3819261, ADC Sample: -319
XU4 Microsecond: 3827120, ADC Sample: -407
XU4 Microsecond: 3834982, ADC Sample: -381
XU4 Microsecond: 3842848, ADC Sample: -373
XU4 Microsecond: 3850689, ADC Sample: -135
XU4 Microsecond: 3858541, ADC Sample: -295
XU4 Microsecond: 3866394, ADC Sample: -146
XU4 Microsecond: 3874253, ADC Sample: -215
XU4 Microsecond: 3882134, ADC Sample: -249
XU4 Microsecond: 3889983, ADC Sample: -144
XU4 Microsecond: 3897854, ADC Sample: -133
XU4 Microsecond: 3905708, ADC Sample: -84
XU4 Microsecond: 3913536, ADC Sample: 68
XU4 Microsecond: 3921468, ADC Sample: -20
XU4 Microsecond: 3929268, ADC Sample: 35
XU4 Microsecond: 3937131, ADC Sample: -19
XU4 Microsecond: 3944980, ADC Sample: 71
XU4 Microsecond: 3952877, ADC Sample: 145
XU4 Microsecond: 3960699, ADC Sample: 140
XU4 Microsecond: 3968614, ADC Sample: 140
XU4 Microsecond: 3976387, ADC Sample: 235
XU4 Microsecond: 3984325, ADC Sample: 201
XU4 Microsecond: 3992117, ADC Sample: 318
XU4 Microsecond: 3999987, ADC Sample: 413
XU4 Microsecond: 4007828, ADC Sample: 400
XU4 Microsecond: 4015686, ADC Sample: 333
XU4 Microsecond: 4023553, ADC Sample: 478
XU4 Microsecond: 4031621, ADC Sample: 447
XU4 Microsecond: 4039244, ADC Sample: 574
XU4 Microsecond: 4047095, ADC Sample: 391
XU4 Microsecond: 4055004, ADC Sample: 610
XU4 Microsecond: 4062875, ADC Sample: 578
XU4 Microsecond: 4070695, ADC Sample: 633
XU4 Microsecond: 4078545, ADC Sample: 612
XU4 Microsecond: 4086400, ADC Sample: 678
XU4 Microsecond: 4094252, ADC Sample: 757
